question,intent,clean_question
I would like sales by subcategory.,sales_by_subcategory,i would like sales by subcategory
Display overall top region,best_region,display overall top region
Show me total orders.,order_count,show me total orders
Display yearly profit.,yearly_profit,display yearly profit
Display yearly profit,yearly_profit,display yearly profit
Can you reveal month wise profit?,monthly_profit,can you reveal month wise profit
Reveal the average profit,average_profit,reveal the average profit
Plot monthly business profit.,monthly_profit,plot monthly business profit
Display top customers.,top_customers,display top customers
Could you display the sales for each category?,sales_by_category,could you display the sales for each category
Generate a report for least profitable cities.,bottom_cities,generate a report for least profitable cities
Could you display the least profitable region?,worst_region,could you display the least profitable region
Can you provide the profit across regions?,region_profit,can you provide the profit across regions
Analyze the subcategory wise sales,sales_by_subcategory,analyze the subcategory wise sales
Could you show the category wise profit?,category_profit,could you show the category wise profit
Display complete sales by category.,sales_by_category,display complete sales by category
Analyze all region wise profit,region_profit,analyze all region wise profit
Calculate all average business sales,average_sales,calculate all average business sales
Generate top 10 customers.,top_customers,generate top 10 customers
Kindly display the average gross profit.,average_profit,kindly display the average gross profit
Compare profit across regions.,region_profit,compare profit across regions
Can you provide the segment performance?,sales_by_segment,can you provide the segment performance
Please provide inactive customers.,bottom_customers,please provide inactive customers
Can you reveal the top customers?,top_customers,can you reveal the top customers
Find the best region.,best_region,find the best region
Show me the discount analysis.,discount_analysis,show me the discount analysis
Kindly show the sales across categories.,sales_by_category,kindly show the sales across categories
